Facility Name,Building Name,Year Built,Priority Level,GradeCategory,PhysicalAddress,Latitude,Longitude,County,Notes
Peninsula High School,500 Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,600 Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,900 Building - Pool Building,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School,700 Building - Voc Ag,,Moderate,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Peninsula High School ,800 Building - Auditorium,,High,High School,"14105 Purdy Dr NW, Gig Harbor, Washington, 98332-8627",47.386862,-122.623431,Pierce,
Pinecrest Elementary,Gymnasium,,Lower,Elementary School,"5530 PINE RD NE, BREMERTON, Washington, 98311-3132",47.613211,-122.636577,Kitsap,
Pinecrest Elementary,Main,1998,Lower,Elementary School,"5530 PINE RD NE, BREMERTON, Washington, 98311-3132",47.613211,-122.636577,Kitsap,
Pinewood Elementary School,Bldg E,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Bldg L (Library),,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Bldg M (Gym),,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Building A,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Pinewood Elementary School,Building D,,High,Elementary School,"8600 52nd Ave NE, Marysville, Washington, 98270-3545",48.072679,-122.16152,Snohomish,
Point Defiance Elementary School,Main Building,,High,Elementary School,"4330 N Visscher St, Tacoma, Washington, 98407-0000",47.289355,-122.518276,Pierce,
Port Townsend High School,Gym,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Main Building,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Math Science Annex,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Port Townsend High School,Stuart Building,,High,High School,"1500 Van Ness St, Port Townsend, Washington, 98368-6346",48.11829,-122.768324,Jefferson,
Prairie High School,600 Building,,High,High School,"11311 NE 119th St, BRUSH PRAIRIE, Washington, 98662-0000",45.704823,-122.554921,Clark,
Prairie High School,400 Building,,Lower,High School,"11311 NE 119th St, BRUSH PRAIRIE, Washington, 98662-0000",45.704823,-122.554921,Clark,
Puyallup High School,Main Building,,Very High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Puyallup High School,Library Science Building,,High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Puyallup High School ,Gymnasium and Swimming,,High,High School,"105 Seventh St SW, Puyallup, Washington, 98371-5333",47.191228,-122.301904,Pierce,
Quil Ceda Tulalip Elementary School,Main Building,,Lower,Elementary School,"2415 74th St NE, Tulalip, Washington, 98271",48.06404975,-122.1986146,Snohomish,
Quilcene High And Elementary School,Elementary,,Very High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
Quilcene High And Elementary School,High School,,Very High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
Quilcene High And Elementary School,Middle School,,High,PK-12,"294715 Highway 101, Quilcene, Washington, 98376-0040",47.823619,-122.874753,Jefferson,
R. A. Long High School,Gym,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Main Building,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Shop Bldg,,Very High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,RA Long Annex,,High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
R. A. Long High School,Science Wing,,High,High School,"2903 Nichols Blvd., Longview, Washington, 98632-2704",46.140614,-122.955924,Cowlitz,
Raymond Elementary School,Raymond elementary,,High,Elementary School,"921 COMMERCIAL STREET, RAYMOND, Washington, 98577-0000",46.685897,-123.725503,Pacific,
Raymond Junior Senior High School,Main Building,,Very High,Other,"1016 COMMERCIAL STREET, RAYMOND, Washington, 98577-0000",46.685194,-123.724907,Pacific,
Red Rock Elementary School,Main Building,,Lower,Elementary School,"230 Wildflower St, Royal City, Washington, 99357-0486",46.910625,-119.6243,Grant,
Reed Elementary School,Main Building,,High,Elementary School,"1802 S 36th St, Tacoma, Washington, 98418-0000",47.225552,-122.461046,Pierce,
Renton Senior High School,Cafeteria/Gym,,High,High School,"400 S 2nd St, Renton, Washington, 98055-2007",47.482951,-122.211724,King,
Ridgetop Junior High,Main,,Lower,Middle School,"10600 HILLSBORO DR, SILVERDALE, Washington, 98383-0008",47.658643,-122.668292,Kitsap,
River Homelink,Main Building,,Lower,K-12,"610A SW EATON BLVD., BATTLE GROUND, Washington, 98604",45.767063,-122.544854,Clark,
Robert Gray Elementary School,Main Building,,Moderate,Elementary School,"4622 Ohio Street, Longview, Washington, 98632-5199",46.171272,-122.992449,Cowlitz,
Robertson Elementary School,"100 Building - Bldg ""B""",,Moderate,Elementary School,"2807 W Lincoln Ave, Yakima, Washington, 98902-2344",46.605184,-120.546583,Yakima,
Robertson Elementary School,"200 Building - Bldg ""C""",,Moderate,Elementary School,"2807 W Lincoln Ave, Yakima, Washington, 98902-2344",46.605184,-120.546583,Yakima,
Robertson Elementary School,"300 Building - Bldg ""D""",,Moderate,Elementary School,"2807 W Lincoln Ave, Yakima, Washington, 98902-2344",46.605184,-120.546583,Yakima,
Robertson Elementary School,"400 Building - Bldg ""E""",,Moderate,Elementary School,"2807 W Lincoln Ave, Yakima, Washington, 98902-2344",46.605184,-120.546583,Yakima,
Robertson Elementary School,"500 Building - Bldg ""G""",,Moderate,Elementary School,"2807 W Lincoln Ave, Yakima, Washington, 98902-2344",46.605184,-120.546583,Yakima,
Rockwell Elementary School,Main Building,,High,Elementary School,"11125 - 162nd AVE NE, Redmond, Washington, 98052-2676",47.699335,-122.124763,King,
Rocky Ridge Elementary School,Main Building,1985,Moderate,Elementary School,"6514 260th Street East, Graham, Washington, 98338-9648",47.019856,-122.345395,Pierce,
Roosevelt Elementary School,Main Building,1972,Moderate,Elementary School,"106 Monroe Road, Port Angeles, Washington, 98362",48.102558,-123.39039,Clallam,
Roosevelt Elementary School,Main Bldg,,Moderate,Elementary School,"3550 E Roosevelt Ave, Tacoma, Washington, 98404-0000",47.228258,-122.399585,Pierce,
Roosevelt Elementary School,Main Building,,High,Elementary School,"2900 Yew St, Bellingham, Washington, 98226-6127",48.768349,-122.442699,Whatcom,
Rose Valley Elementary School,Main Building,,Very High,Elementary School,"1502 Rose Valley Rd, Kelso, Washington, 98626-0000",46.098208,-122.826601,Cowlitz,
Royal High School,B Main Building,,Lower,High School,"955 Ahlers Road, Royal City, Washington, 99357-0486",46.912878,-119.627,Grant,
Royal Middle School,Main Building,,Lower,Middle School,"921 Ahlers Road, Royal City, Washington, 99357-0486",46.911166,-119.62664,Grant,
Sacajawea Middle School,100 Building,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School,300 Building/Cafeteria,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School,600/700/800 Building,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School,900 Building,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School,Gym (500) Building,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School ,400 Building,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
Sacajawea Middle School  Main Office Building,,,High,Middle School,"1101 S DASH POINT RD, FEDERAL WAY, Washington, 98003-3735",47.334291,-122.318302,King,
School,500 Building,,High,High School,"11311 NE 119th St, BRUSH PRAIRIE, Washington, 98662-0000",45.704823,-122.554921,Clark,
Seahurst Elementary School,Main Building,,Lower,Elementary School,"14603 14th Ave SW  , Burien, Washington, 98166-1730",47.471205,-122.353922,King,
Shaw Island School,Admin/RR Building,,High,Other,"44 Hoffman Cove Road, Shaw Island, Washington, 98286-0426",48.57239,-122.96178,San Juan,
Shaw Island School,Primary Classroom Building,,High,Other,"44 Hoffman Cove Road, Shaw Island, Washington, 98286-0426",48.57239,-122.96178,San Juan,
Shaw Island School ,Intermediate Classroom,,Lower,Other,"44 Hoffman Cove Road, Shaw Island, Washington, 98286-0426",48.57239,-122.96178,San Juan,
Shelton View Elementary School,Building A1/10 - Classroom,,High,Elementary School,"23400 5 AV W, Bothell, Washington, 98021-8529",47.785754,-122.239476,Snohomish,
Shelton View Elementary School,Building C - Gym,,High,Elementary School,"23400 5 AV W, Bothell, Washington, 98021-8529",47.785754,-122.239476,Snohomish,
Sheridan Elementary School  Main Building,,,Lower,Elementary School,"5317 E McKinley Ave, Tacoma, Washington, 98404-0000",47.208691,-122.420052,Pierce,
Shoultes Elementary School,B Building,,High,Elementary School,"13525 51st Ave NE, Marysville, Washington, 98271-7754",48.118524,-122.161601,Snohomish,
Shoultes Elementary School,Gym Building A,,High,Elementary School,"13525 51st Ave NE, Marysville, Washington, 98271-7754",48.118524,-122.161601,Snohomish,
Shoultes Elementary School,D Building,,High,Elementary School,"13525 51st Ave NE, Marysville, Washington, 98271-7754",48.118524,-122.161601,Snohomish,
Shoultes Elementary School,C Building,,High,Elementary School,"13525 51st Ave NE, Marysville, Washington, 98271-7754",48.118524,-122.161601,Snohomish,
Silver Ridge Elementary,Main,,Lower,Elementary School,"10622 HILLSBORO DR NW, SILVERDALE, Washington, 98383-7713",47.658399,-122.666773,Kitsap,
Skamania Elementary School,Main Building,,High,Other,"122 Butler Loop Road, Skamania, Washington, 98648-6021",45.617029,-122.049184,Skamania,
Skykomish School,Main Building,,Very High,Other,"105 6th St. N, Skykomish, Washington, 98288-0325",47.709274,-121.361681,King,
Skyridge Middle School  Main Building,,,Moderate,Middle School,"5220 NW Parker Street, Camas, Washington, 98607-8576",45.615572,-122.447485,Clark,
South Bend Jr/Sr High School,Koplitz Field House,,Very High,Other,"400 E. 1st, South Bend, Washington, 98586-0437",46.66184,-123.79168,Pacific,
South Bend Jr/Sr High School,Vocational Building,,Very High,Other,"400 E. 1st, South Bend, Washington, 98586-0437",46.66184,-123.79168,Pacific,
South Bend Jr/Sr High School,Main Building High School,,High,Other,"400 E. 1st, South Bend, Washington, 98586-0437",46.66184,-123.79168,Pacific,
South Ridge Elementary School,Main Building,,High,Elementary School,"502 NW 199TH STREET, RIDGEFIELD, Washington, 98642-5601",45.765629,-122.675106,Clark,
South Whidbey Elementary School,Main Building,,Lower,Elementary School,"5380 Maxwelton Rd, Langley, Washington, 98260",48.014227,-122.411333,Island,
South Whidbey Grades 5 & 6,A- Classrooms,,High,Middle School,"5675 Maxwelton Road, Langley, Washington, 98260-0370",48.01262973,-122.4109199,Island,
South Whidbey Grades 5 & 6,C - Classrooms/Admin,,High,Middle School,"5675 Maxwelton Road, Langley, Washington, 98260-0370",48.01262973,-122.4109199,Island,
South Whidbey Grades 5 & 6,D - WIA Office/Classrooms,,High,Middle School,"5675 Maxwelton Road, Langley, Washington, 98260-0370",48.01262973,-122.4109199,Island,
South Whidbey Grades 5 & 6,E - Classrooms,,High,Middle School,"5675 Maxwelton Road, Langley, Washington, 98260-0370",48.01262973,-122.4109199,Island,
South Whidbey Grades 5 & 6,F - Multipurpose,,High,Middle School,"5675 Maxwelton Road, Langley, Washington, 98260-0370",48.01262973,-122.4109199,Island,
Southern Heights Elementary School,Building C - Admin/Multi,,Very High,Elementary School,"11249 14th Ave S, Seattle, Washington, 98168-2199",47.501925,-122.315788,King,
Southern Heights Elementary School,Building A,,Moderate,Elementary School,"11249 14th Ave S, Seattle, Washington, 98168-2199",47.501925,-122.315788,King,
Southern Heights Elementary School,Building B,,Moderate,Elementary School,"11249 14th Ave S, Seattle, Washington, 98168-2199",47.501925,-122.315788,King,
Spinning Elementary School,Main Building,,Very High,Elementary School,"1306 E Pioneer, Puyallup, Washington, 98372-3384",47.188963,-122.277043,Pierce,
Spinning Elementary School,East,,High,Elementary School,"1306 E Pioneer, Puyallup, Washington, 98372-3384",47.188963,-122.277043,Pierce,
Stanley Elementary School,Gym Bldg,,High,Elementary School,"1712 S 17th St, Tacoma, Washington, 98405-0000",47.244449,-122.460111,Pierce,
Stanley Elementary School,First Bldg,,Lower,Elementary School,"1712 S 17th St, Tacoma, Washington, 98405-0000",47.244449,-122.460111,Pierce,
Stanwood Elementary School,Main Building Unit C 1981,,High,Elementary School,"10227 273RD PL NW, STANWOOD, Washington, 98292-0000",48.245116,-122.372841,Snohomish,
Stanwood Elementary School,Main Building Unit C 1966,,Moderate,Elementary School,"10227 273RD PL NW, STANWOOD, Washington, 98292-0000",48.245116,-122.372841,Snohomish,
Stanwood Elementary School,Main Building Units A,,Moderate,Elementary School,"10227 273RD PL NW, STANWOOD, Washington, 98292-0000",48.245116,-122.372841,Snohomish,
Stanwood Middle School,Main Building (Bldg 1) Units E and F,,Very High,Middle School,"9405 271ST ST NW, STANWOOD, Washington, 98292-0000",48.242725,-122.36092,Snohomish,
Stanwood Middle School,Building 3 - Music,,High,Middle School,"9405 271ST ST NW, STANWOOD, Washington, 98292-0000",48.242725,-122.36092,Snohomish,
Stanwood Middle School,Main Building (Building 1) Unit D,,Moderate,Middle School,"9405 271ST ST NW, STANWOOD, Washington, 98292-0000",48.242725,-122.36092,Snohomish,
Stanwood Middle School,Main Building (Building 1) Unit G,,Moderate,Middle School,"9405 271ST ST NW, STANWOOD, Washington, 98292-0000",48.242725,-122.36092,Snohomish,
Stevenson High School,Main Building,,High,High School,"390 NW Gropper Road, Stevenson, Washington, 98648-0000",45.701053,-121.887808,Skamania,
Stevenson High School,Vocational Building,,High,High School,"390 NW Gropper Road, Stevenson, Washington, 98648-0000",45.701053,-121.887808,Skamania,
Sunset Primary School,Main Building,,High,Elementary School,"4523 97TH AVE W, UNIVERSITY PLACE, Washington, 98466-0000",47.215457,-122.564076,Pierce,
Sylvester Middle School,100 Building,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School,200 Building,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School,400 Building,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School,500 Building - Library,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School,600 Building,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School,700 Building - Band/Drama,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Sylvester Middle School ,300 Building -,,High,Middle School,"16222 Sylvester Road SW, Burien, Washington, 98166-3093",47.457463,-122.342609,King,
Tacoma School of the Arts-Pacific,SOTA Pacific Ave,,Very High,High School,"1102 A St Suite 200, Tacoma, Washington, 98402-0000",47.25514764,-122.441162,Pierce,
Taholah School,Main Building,,High,Other,"600 Chitwhin Dr., Taholah, Washington, 98587",47.344192,-124.287417,Grays Harbor,
Taholah School,Covered Court,,Moderate,High School,"600 CHITWHIN DR, TAHOLAH, Washington, 98587-0249",47.344192,-124.287417,Grays Harbor,
Thorp Elementary and Jr-Sr High School,Thorp Elem/Jr/Sr High,,Lower,K-12,"10831 N THORP HWY, THORP, Washington, 98946-0000",47.069388,-120.675509,Kittitas,
Thorp Elementary and Junior Senior High School,Brick Building,,Very High,K-12,"10831 N THORP HWY, THORP, Washington, 98946-0000",47.069388,-120.675509,Kittitas,
Thurgood Marshall Middle School,Gym Building,,Lower,Middle School,"3939 20TH AVE NW, OLYMPIA, Washington, 98502-8542",47.062365,-122.950756,Thurston,
Thurgood Marshall Middle School,Main Building,,Lower,Middle School,"3939 20TH AVE NW, OLYMPIA, Washington, 98502-8542",47.062365,-122.950756,Thurston,
Tillicum Elementary School,Classroom Building - TL1,1944,Very High,Elementary School,"8514 Maple ST SW, Lakewood, Washington, 98498-2398",47.124995,-122.553634,Pierce,
Toledo Elementary School,Main Building,,High,Elementary School,"311 S 6th St, Toledo, Washington, 98591",46.438815,-122.852806,Lewis,
Toledo Middle School,Classroom Bldg. (Bldg #2),,High,Middle School,"155 N 5th St, Toledo, Washington, 98591",46.440834,-122.849789,Lewis,
Toledo Middle School,Main Building (Bldg. #1),,High,Middle School,"155 N 5th St, Toledo, Washington, 98591",46.440834,-122.849789,Lewis,
Tonasket Elementary School,Tonasket Elementary,,Lower,Elementary School,"35ES HIGHWAY 20, TONASKET, Washington, 98855-0000",48.70226067,-119.4324393,Okanogan,
Tonasket Middle-High School,High School/Middle School,,Lower,Elementary School,"35ES HIGHWAY 20, TONASKET, Washington, 98855-0000",48.70226067,-119.4324393,Okanogan,
Totem Middle School,Cafeteria Gym Building,,Very High,Middle School,"1605 7th St, Marysville, Washington, 98270-4672",48.054978,-122.173605,Snohomish,
Totem Middle School,Home Economics Building,,High,Middle School,"1605 7th St, Marysville, Washington, 98270-4672",48.054978,-122.173605,Snohomish,
Totem Middle School,Main Building,,High,Middle School,"1605 7th St, Marysville, Washington, 98270-4672",48.054978,-122.173605,Snohomish,
Totem Middle School,School House Cafe,,High,Middle School,"1605 7th St, Marysville, Washington, 98270-4672",48.054978,-122.173605,Snohomish,
Totem Middle School,Science Building,,High,Middle School,"1605 7th St, Marysville, Washington, 98270-4672",48.054978,-122.173605,Snohomish,
Touchet Elementary and High School,Elementary - Main Building,,High,K-12,"90 CHAMPION STREET, TOUCHET, Washington, 99360-0135",46.043447,-118.672263,Walla Walla,
Touchet Elementary and High School,Secondary Facility,,High,K-12,"90 CHAMPION STREET, TOUCHET, Washington, 99360-0135",46.043447,-118.672263,Walla Walla,
Touchet Elementary and High School,CTE Building,,Moderate,K-12,"90 CHAMPION STREET, TOUCHET, Washington, 99360-0135",46.043447,-118.672263,Walla Walla,
Twin City Elementary School,Main Building,,High,Elementary School,"26211 72ND AVE NW, STANWOOD, Washington, 98292-0000",48.23454,-122.32852,Snohomish,
Union Ridge Elementary School,Main Building,,High,Elementary School,"330 N FIFTH AVE, RIDGEFIELD, Washington, 98642-9274",45.817792,-122.742265,Clark,
Vashon Island High School,Building D - Gymnasium,,Very High,High School,"9600 SW 204TH ST, VASHON, Washington, 98070-0000",47.423293,-122.458143,King,
Vashon Island High School,Building K - Annex,,High,High School,"9600 SW 204TH ST, VASHON, Washington, 98070-0000",47.423293,-122.458143,King,
Voyager Elementary School,Main Building,,Lower,Elementary School,"5615 Kopachuck Dr NW, Gig Harbor, Washington, 98335-5954",47.309245,-122.678057,Pierce,
Waller Road Elementary School,Main Building,,High,Elementary School,"6312 Waller Rd E, Tacoma, Washington, 98443-1449",47.199682,-122.38959,Pierce,
Warden K-12,Cafeteria,,Lower,Elementary School,"101 W BECK WAY, WARDEN, Washington, 98857-9401",46.96133581,-119.0410488,Grant,
Warden K-12,Middle School/High School,,Lower,High School,"101 W BECK WAY, WARDEN, Washington, 98857-9401",46.960369,-119.042186,Grant,
Washington Elementary School,Main Building,1950,Very High,Elementary School,"800 Field Street, Centralia, Washington, 98531-3824",46.708545,-122.953674,Lewis,
Washtucna Elementary High School,Ag Shop/ Music Room,,High,PK-12,"730 East Booth Avenue, Washtucna, Washington, 99371-0688",46.752682,-118.310063,Adams,
Washtucna Elementary High School,Main Building,,High,PK-12,"730 East Booth Avenue, Washtucna, Washington, 99371-0688",46.752682,-118.310063,Adams,
Wayne M. Henkle Middle School,Middle School,,High,Middle School,"480 NW LOOP ROAD, WHITE SALMON, Washington, 98672-0000",45.74023818,-121.4942537,Klickitat,
West Valley Junior High School,WVJH (Gym Building),,Moderate,Middle School,"7505 Zier Rd, Yakima, Washington, 98908-2077",46.57653721,-120.6093183,Yakima,
West Valley Junior High School,WVJH (Main Building),,Moderate,Middle School,"7505 Zier Rd, Yakima, Washington, 98908-2077",46.57653721,-120.6093183,Yakima,
West View Elementary School,Main Building,1950,Very High,Elementary School,"515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028",48.477418,-122.341179,Skagit,
Whatcom Middle School,Industrial Arts Building,1978,High,Middle School,"810 Halleck St, Bellingham, Washington, 98225-3243",48.75913866,-122.4800982,Whatcom,
Whatcom Middle School,Music Building,1971,Lower,Middle School,"810 Halleck St, Bellingham, Washington, 98225-3243",48.75913866,-122.4800982,Whatcom,
White Pass Elementary School,Main Building,,Moderate,Elementary School,"127 Kindle Road, Randle, Washington, 98377-9209",46.53544699,-121.9275702,Lewis,
White Pass Junior Senior High School,Main Building,,Lower,Other,"516 Silverbrook Road, Randle, Washington, 98377",46.53667939,-121.9299059,Lewis,
Wilder Elementary School,Main Building,,Lower,Elementary School,"22130 NE 133rd, Woodinville, Washington, 98077-7270",47.7195,-122.041538,King,
Wildwood Elementary,Main Building,,Moderate,Elementary School,"1601 26th Ave SE, Puyallup, Washington, 98374-1349",47.166604,-122.273232,Pierce,
Willapa Elementary School,Main Building,,High,Elementary School,"845 Willapa 4th Street, Raymond, Washington, 98577-9308",46.675842,-123.664905,Pacific,
Willie Stewart Academy,Main Bldg,,Very High,,"908 Broadway, Tacoma, WA 98402",,,Pierce,
Wilson Creek K-12,Main - Gym & Classrooms,,High,Elementary School,"400 Navar Street, Wilson Creek, Washington, 98860-0000",47.42565705,-119.1208887,Grant,
Wilson Creek K-12,Gym/Commons,,Lower,Other,"400 Navar Street, Wilson Creek, Washington, 98860-0000",47.426227,-119.120707,Grant,
Wilson Creek K-12 ,Business Building/Home,,Lower,Elementary School,"400 Navar Street, Wilson Creek, Washington, 98860-0000",47.42565705,-119.1208887,Grant,
Wilson Creek K-12 ,Vo-Ag / Science Bldg,,Lower,Other,"400 Navar Street, Wilson Creek, Washington, 98860-0000",47.426227,-119.120707,Grant,
Wilson Middle School,Main Building,,High,Middle School,"902 S 44th Ave, Yakima, Washington, 98908-3838",46.588396,-120.56817,Yakima,
Wilson Middle School,Science Building,,High,Middle School,"902 S 44th Ave, Yakima, Washington, 98908-3838",46.588396,-120.56817,Yakima,
Wind River Education,Main Building,,High,Middle School,"411 Hot Springs Avenue, Carson, Washington, 98610",45.72677069,-121.8109204,Skamania,
Woodland Middle School,Gymnasium Building,,Very High,Middle School,"755 Park St, Woodland, Washington, 98674",45.90484125,-122.7479802,Cowlitz,
Woodland Middle School,Main Building,,Very High,Middle School,"755 Park St, Woodland, Washington, 98674",45.90484125,-122.7479802,Cowlitz,
Woodland Middle School,Performing Arts,,Very High,Middle School,"755 Park St, Woodland, Washington, 98674",45.90484125,-122.7479802,Cowlitz,
Woodland Middle School ,Shared High School /Middle School,,Very High,Middle School,"755 Park St, Woodland, Washington, 98674",45.90484125,-122.7479802,Cowlitz,
Woodland Middle School ,Vocational Building,,Very High,Middle School,"755 Park St, Woodland, Washington, 98674",45.90484125,-122.7479802,Cowlitz,
Woodlands Elementary,Main,1981,Lower,Elementary School,"7420 CENTRAL VALLEY RD NE, BREMERTON, Washington, 98311-0000",47.629827,-122.647746,Kitsap,
Woodward Middle School,2-Story Classroom Wing,,Lower,Middle School,"9100 NE Sportsman Club Rd, Bainbridge Island, Washington, 98110-3640",47.64527634,-122.5291623,Kitsap,
Woodward Middle School,Gym,,Lower,Middle School,"9100 NE Sportsman Club Rd, Bainbridge Island, Washington, 98110-3640",47.64527634,-122.5291623,Kitsap,
Woodward Middle School,Main Building,1994,Lower,Middle School,"9100 NE Sportsman Club Rd, Bainbridge Island, Washington, 98110-3640",47.64527634,-122.5291623,Kitsap,
